schema_version,export_batch_ref,candor_batch_id,finding_id,tenant_id,entity_type,certify_practitioner_id,npi,certify_location_id,address_line1,city,state,zip,attribute,recommendation,current_value_seen,recommended_value,verification_status,verification_reason,evidence_type,evidence,verified_at,effective_from,confidence,candor_provider_ref,candor_location_ref
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0001,org-xyz,PRACTITIONER,cert-000123,1234567893,loc-000501,100 Main St,Columbus,OH,43215,practice_address,KEEP,100 Main St|Suite 4|Columbus|OH|43215,,VALID,direct_outreach,DATE,2026-09-08,2026-09-08,,VERY HIGH,cand-p-88120,cand-l-30411
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0002,org-xyz,PRACTITIONER,cert-000123,1234567893,loc-000501,100 Main St,Columbus,OH,43215,location_phone,UPDATE,614-555-0100,614-555-0199,INVALID,direct_outreach,DATE,2026-09-08,2026-09-08,,VERY HIGH,cand-p-88120,cand-l-30411
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0003,org-xyz,PRACTITIONER,cert-000123,1234567893,loc-000501,100 Main St,Columbus,OH,43215,accepting_new_patients,KEEP,Y,,VALID,direct_outreach,DATE,2026-09-08,2026-09-08,,VERY HIGH,cand-p-88120,cand-l-30411
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0004,org-xyz,PRACTITIONER,cert-000123,1234567893,loc-000502,4500 Lakeview Blvd,Dublin,OH,43017,practice_address,REMOVE,4500 Lakeview Blvd||Dublin|OH|43017,,INVALID,direct_outreach,DATE,2026-09-09,2026-09-09,2026-08-31,VERY HIGH,cand-p-88120,cand-l-30412
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0005,org-xyz,PRACTITIONER,cert-000123,1234567893,,,,,,specialty,KEEP,Cardiology,,VALID,health_system_verified,URL,https://sunrisemed.example/providers/jane-rivera,2026-09-05,,HIGH,cand-p-88120,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0006,org-xyz,PRACTITIONER,cert-000123,1234567893,,,,,,telehealth_available,KEEP,Y,,VALID,health_system_verified,URL,https://sunrisemed.example/providers/jane-rivera,2026-09-05,,HIGH,cand-p-88120,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0007,org-xyz,PRACTITIONER,cert-000123,1234567893,loc-000501,100 Main St,Columbus,OH,43215,website,KEEP,https://sunrisemed.example,,VALID,health_system_verified,URL,https://sunrisemed.example,2026-09-05,,HIGH,cand-p-88120,cand-l-30411
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0008,org-xyz,PRACTITIONER,cert-000287,2345678918,,,,,,provider_name,UPDATE,Dr.|Chidi|A|Okafer|DO,Dr.|Chidi|A|Okafor|DO,INVALID,health_system_verified,URL,https://riversidefp.example/team/chidi-okafor,2026-09-04,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0009,org-xyz,PRACTITIONER,cert-000287,2345678918,,,,,,group_affiliation,REMOVE,Riverside Family Practice;Ohio Primary Care Network,Ohio Primary Care Network,INVALID,direct_outreach,DATE,2026-09-10,2026-09-10,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0010,org-xyz,PRACTITIONER,cert-000287,2345678918,loc-000503,220 W Broad St,Columbus,OH,43215,website,KEEP,https://riversidefp.example,,VALID,health_system_verified,URL,https://riversidefp.example,2026-09-04,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0011,org-xyz,PRACTITIONER,cert-000287,2345678918,loc-000503,220 W Broad St,Columbus,OH,43215,ada_accommodations,KEEP,Wheelchair accessible;Accessible restroom,,VALID,direct_outreach,DATE,2026-09-10,2026-09-10,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0012,org-xyz,PRACTITIONER,cert-000287,2345678918,,,,,,practitioner_status,KEEP,ACTIVE,,VALID,active_provider,NONE,,2026-09-04,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0013,org-xyz,PRACTITIONER,cert-000341,3456789122,loc-000504,1800 Zollinger Rd,Upper Arlington,OH,43221,location_phone,UPDATE,614-555-0300,614-555-0311,INVALID,deactivated,DATE,2026-09-07,2026-09-07,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0014,org-xyz,PRACTITIONER,cert-000341,3456789122,,,,,,practitioner_phone,KEEP,614-555-0388,,UNKNOWN,no_evidence_health_system,NONE,,2026-09-07,,INCONCLUSIVE,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0015,org-xyz,PRACTITIONER,cert-000341,3456789122,,,,,,languages,ADD,English;Hindi;Gujarati,English;Hindi;Gujarati;Marathi,INVALID,health_system_verified,URL,https://buckeyeneuro.example/dr-patel,2026-09-06,,MEDIUM,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0016,org-xyz,PRACTITIONER,cert-000341,3456789122,,,,,,telehealth_url,UPDATE,https://buckeyeneuro.example/virtual,https://buckeyeneuro.example/telehealth,INVALID,health_system_verified,URL,https://buckeyeneuro.example/telehealth,2026-09-06,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0017,org-xyz,PRACTITIONER,cert-000341,3456789122,loc-000504,1800 Zollinger Rd,Upper Arlington,OH,43221,ada_accommodations,KEEP,Wheelchair accessible,,VALID,health_system_verified,URL,https://buckeyeneuro.example/locations/zollinger,2026-09-06,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0018,org-xyz,PRACTITIONER,cert-000402,4567891237,loc-000505,PO Box 9120,Columbus,OH,43209,practice_address,REMOVE,PO Box 9120||Columbus|OH|43209,,INVALID,po_box_address,NONE,,2026-09-03,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0019,org-xyz,PRACTITIONER,cert-000402,4567891237,,2950 E Main St,Bexley,OH,43209,practice_address,ADD,,2950 E Main St|Suite 100|Bexley|OH|43209,INVALID,direct_outreach,DATE,2026-09-11,2026-09-11,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0020,org-xyz,PRACTITIONER,cert-000402,4567891237,,2950 E Main St,Bexley,OH,43209,location_phone,ADD,,614-555-0410,INVALID,direct_outreach,DATE,2026-09-11,2026-09-11,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0021,org-xyz,PRACTITIONER,cert-000402,4567891237,,2950 E Main St,Bexley,OH,43209,accepting_new_patients,ADD,,Y,INVALID,direct_outreach,DATE,2026-09-11,2026-09-11,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0022,org-xyz,PRACTITIONER,cert-000515,5678912341,loc-000506,3535 Olentangy River Rd,Columbus,OH,43214,practice_address,UPDATE,3535 Olentangy River Rd|Suite 210|Columbus|OH|43214,3535 Olentangy River Rd|Suite 201|Columbus|OH|43214,INVALID,typo_address,URL,https://capcityortho.example/locations,2026-09-09,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0023,org-xyz,PRACTITIONER,cert-000515,5678912341,loc-000506,3535 Olentangy River Rd,Columbus,OH,43214,location_phone,KEEP,614-555-0500,,VALID,direct_outreach,DATE,2026-09-09,2026-09-09,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0024,org-xyz,PRACTITIONER,cert-000515,5678912341,,,,,,specialty,KEEP,Orthopedic Surgery,,VALID,health_system_verified,URL,https://capcityortho.example/surgeons/schmidt,2026-09-02,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0025,org-xyz,PRACTITIONER,cert-000515,5678912341,loc-000506,3535 Olentangy River Rd,Columbus,OH,43214,accepting_new_patients,KEEP,Y,,VALID,direct_outreach,DATE,2026-09-09,2026-09-09,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0026,org-xyz,PRACTITIONER,cert-000515,5678912341,,,,,,practitioner_status,KEEP,ACTIVE,,VALID,active_provider,NONE,,2026-09-02,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0027,org-xyz,PRACTITIONER,cert-000618,6789123455,loc-000507,900 E Long St,Columbus,OH,43203,accepting_new_patients,UPDATE,N,Y,INVALID,direct_outreach,DATE,2026-09-12,2026-09-12,,VERY HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0028,org-xyz,PRACTITIONER,cert-000618,6789123455,,1275 Olentangy River Rd,Columbus,OH,43212,practice_address,ADD,,1275 Olentangy River Rd|Suite 300|Columbus|OH|43212,INVALID,health_system_verified,URL,https://metrobh.example/locations/olentangy,2026-09-12,2026-06-01,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0029,org-xyz,PRACTITIONER,cert-000618,6789123455,,1275 Olentangy River Rd,Columbus,OH,43212,location_phone,ADD,,614-555-0650,INVALID,health_system_verified,URL,https://metrobh.example/locations/olentangy,2026-09-12,,HIGH,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0030,org-xyz,PRACTITIONER,cert-000618,6789123455,,,,,,specialty,UPDATE,Psychiatry,Child & Adolescent Psychiatry,INVALID,alternative_specialty,URL,https://metrobh.example/providers/sofia-alvarez,2026-09-12,,MEDIUM,,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0031,org-xyz,PRACTITIONER,cert-000733,7891234560,,,,,,practitioner_status,REMOVE,ACTIVE,INACTIVE,INVALID,deceased,URL,https://obituaries.example/harold-bennett,2026-09-10,2026-07-14,VERY HIGH,cand-p-88127,
candor-recs-v1,org-xyz-candor-2026-09-001,CB-2026-09-001,CF-2026-09-001-0032,org-xyz,PRACTITIONER,cert-000733,7891234560,loc-000508,55 N State St,Westerville,OH,43081,practice_address,REMOVE,55 N State St|Suite 2|Westerville|OH|43081,,INVALID,direct_outreach,DATE,2026-09-10,2026-09-10,2026-07-14,VERY HIGH,cand-p-88127,
